Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-03-30,MARUTI,EQ,6784.45,6811.0,6875.0,6740.0,6854.45,6851.8,6805.37,1088917,741048472410000.0,105581,518822,0.4765
2021-03-31,MARUTI,EQ,6851.8,6852.3,6939.9,6795.2,6864.75,6859.2,6874.85,735382,505563742914999.94,84020,242359,0.3296
2021-04-01,MARUTI,EQ,6859.2,6950.0,6991.5,6855.0,6922.0,6923.9,6928.21,660759,457787860114999.94,57833,170697,0.2583
2021-04-05,MARUTI,EQ,6923.9,6908.5,6908.5,6724.6,6773.0,6768.55,6785.21,668129,453339326080000.0,76303,221541,0.33159999999999995
2021-04-06,MARUTI,EQ,6768.55,6818.25,6846.95,6720.0,6767.2,6751.3,6786.69,628262,426382039330000.0,69291,179244,0.2853
2021-04-07,MARUTI,EQ,6751.3,6790.0,6885.0,6775.05,6865.2,6865.0,6847.39,598115,409552583610000.0,57449,255548,0.42729999999999996
2021-04-08,MARUTI,EQ,6865.0,6881.0,6939.3,6806.85,6831.0,6826.85,6885.7,604553,416276904875000.0,58345,281504,0.4656
2021-04-09,MARUTI,EQ,6826.85,6850.0,6875.25,6778.0,6835.0,6827.1,6827.68,641327,437877359800000.0,60183,277643,0.4329
2021-04-12,MARUTI,EQ,6827.1,6739.85,6739.85,6502.15,6533.0,6520.6,6565.82,1020746,670203219025000.0,134956,505862,0.49560000000000004
2021-04-13,MARUTI,EQ,6520.6,6520.0,6845.4,6468.8,6825.0,6815.8,6733.61,995718,670477613305000.0,107496,283343,0.2846
2021-04-15,MARUTI,EQ,6815.8,6846.6,6846.85,6551.0,6643.0,6644.25,6640.08,1267365,841540981865000.0,138313,581577,0.45890000000000003
2021-04-16,MARUTI,EQ,6644.25,6675.0,6784.85,6606.05,6633.0,6648.1,6680.14,1000325,668231428355000.0,81274,342948,0.3428
2021-04-19,MARUTI,EQ,6648.1,6500.35,6530.0,6415.0,6515.0,6511.75,6477.28,772219,500187684025000.0,94720,323706,0.4192
2021-04-20,MARUTI,EQ,6511.75,6615.0,6678.7,6558.55,6640.0,6646.65,6616.92,914142,604880023755000.0,69676,401144,0.4388
2021-04-22,MARUTI,EQ,6646.65,6625.95,6674.9,6545.0,6648.0,6650.1,6631.11,667911,442899345285000.06,75599,329978,0.494
2021-04-23,MARUTI,EQ,6650.1,6560.0,6714.7,6560.0,6684.0,6676.1,6651.34,709306,471783631535000.06,64854,275503,0.3884
2021-04-26,MARUTI,EQ,6676.1,6690.2,6789.0,6600.0,6645.0,6638.9,6678.34,937344,625990283180000.0,74474,464999,0.4961
2021-04-27,MARUTI,EQ,6638.9,6669.95,6709.0,6542.0,6552.0,6568.75,6620.68,1610651,1066359829460000.0,130986,588617,0.3655
2021-04-28,MARUTI,EQ,6568.75,6568.75,6650.0,6545.0,6581.0,6573.8,6598.62,1406270,927943729775000.0,117843,672435,0.4782
2021-04-29,MARUTI,EQ,6573.8,6635.0,6647.45,6552.0,6562.0,6565.65,6580.77,757075,498213501010000.06,64393,352987,0.46630000000000005
2021-04-30,MARUTI,EQ,6565.65,6537.1,6559.6,6421.0,6438.35,6455.65,6500.51,849997,552541815500000.0,95248,382594,0.4501
2021-05-03,MARUTI,EQ,6455.65,6430.0,6622.0,6400.0,6600.0,6597.85,6568.74,834923,548439148525000.0,71917,162249,0.1943
2021-05-04,MARUTI,EQ,6597.85,6639.95,6648.5,6482.0,6506.0,6508.25,6544.51,507170,331917716875000.0,53256,123041,0.2426
2021-05-05,MARUTI,EQ,6508.25,6557.7,6599.0,6483.0,6590.0,6590.1,6551.0,499160,326999839145000.0,52446,117735,0.2359
2021-05-06,MARUTI,EQ,6590.1,6590.0,6709.0,6575.7,6657.0,6666.65,6664.2,520125,346621611470000.0,55167,190241,0.3658
2021-05-07,MARUTI,EQ,6666.65,6679.0,6754.55,6640.0,6694.05,6703.05,6697.04,605050,405204361500000.0,62112,235152,0.3886
2021-05-10,MARUTI,EQ,6703.05,6675.2,6773.15,6660.1,6765.0,6764.0,6738.56,541534,364915806695000.0,59183,232526,0.4294
2021-05-11,MARUTI,EQ,6764.0,6680.15,6749.0,6660.25,6740.0,6736.65,6709.69,406046,272444170135000.0,46189,130971,0.3226
2021-05-12,MARUTI,EQ,6736.65,6730.0,6840.0,6685.0,6825.0,6817.55,6771.29,770204,521527152750000.0,73266,311842,0.40490000000000004
2021-05-14,MARUTI,EQ,6817.55,6840.0,6842.15,6700.2,6720.0,6736.4,6745.87,647029,436477322550000.0,77290,302500,0.4675
2021-05-17,MARUTI,EQ,6736.4,6716.5,6838.4,6697.55,6715.0,6717.85,6764.44,995827,673620794485000.0,85734,630130,0.6328
2021-05-18,MARUTI,EQ,6717.85,6788.0,6864.0,6715.45,6812.0,6811.1,6798.4,805827,547833782285000.06,74323,308871,0.3833
2021-05-19,MARUTI,EQ,6811.1,6799.0,6854.95,6760.0,6771.0,6775.9,6796.41,432774,294130835660000.0,49718,147826,0.34159999999999996
2021-05-20,MARUTI,EQ,6775.9,6780.8,6814.7,6729.5,6739.0,6737.85,6765.64,470476,318307049575000.0,53092,207817,0.44170000000000004
2021-05-21,MARUTI,EQ,6737.85,6780.0,6835.5,6744.25,6811.1,6814.65,6796.16,434363,295200209555000.0,46661,179876,0.41409999999999997
2021-05-24,MARUTI,EQ,6814.65,6802.0,6965.0,6802.0,6882.0,6871.6,6904.36,1027484,709411813450000.0,99839,308603,0.3003
2021-05-25,MARUTI,EQ,6871.6,6939.95,6948.0,6888.0,6910.0,6911.8,6915.45,438736,303405873970000.0,46895,153247,0.3493
2021-05-26,MARUTI,EQ,6911.8,6926.0,7051.0,6912.0,7024.0,7034.3,6996.06,691574,483829140614999.94,68086,279281,0.40380000000000005
2021-05-27,MARUTI,EQ,7034.3,7022.0,7069.0,6951.15,6968.0,6968.9,6996.16,922091,645109836460000.0,76583,508186,0.5511
2021-05-28,MARUTI,EQ,6968.9,6988.6,7047.0,6940.5,6965.0,6970.0,6978.71,393809,274827683955000.03,39040,139376,0.3539
